Cid,name,numOrders,rewardPoints,currentAddress,lastOrderTime,createdDate,creditCardNumber,accessRight
1,Tessi D'Hooghe,3,7497,6092 Arkansas Avenue,12/12/2019 4:57,12/11/2019,9404,4
2,Araldo Whytock,0,7384,2 Dryden Parkway,8/30/2019 10:15,7/14/2019,3782,4
3,Mata Dongles,9,5162,34 Kings Center,4/29/2019 18:38,3/27/2019,3254,4
4,Lavinia De Caroli,8,3574,39 Maple Wood Way,4/21/2020 19:59,8/28/2019,4237,4
5,Drucill Connal,1,6333,2078 Aberg Place,,10/14/2019,,4
6,Yelena Roskams,8,6972,0255 Eagan Trail,2/27/2020 11:05,7/17/2019,1668,4
7,Nanine Kenzie,0,4747,3 Fisk Plaza,12/29/2019 12:48,6/21/2019,2586,4
8,Grethel Marriott,6,3165,65029 Kim Court,4/22/2020 18:19,1/17/2020,8900,4
9,Koressa Crowhurst,7,6683,07 Florence Way,6/5/2019 6:04,6/2/2019,9961,4
10,Charo Lynds,9,9881,726 Fulton Park,,6/13/2019,,4
11,Fiann Pol,0,1103,1429 Stang Crossing,3/11/2019 6:23,3/5/2019,8487,4
12,Danny Childe,4,2206,4 Tennessee Junction,9/16/2019 5:18,6/16/2019,8167,4
13,Fabiano Tremayne,5,620,2044 School Trail,8/1/2019 1:04,7/2/2019,7330,4
14,Ayn Munnis,0,5091,364 Burning Wood Lane,,8/31/2019,,4
15,Devlen Bursnoll,4,8380,660 Kenwood Drive,12/1/2019 5:21,11/8/2019,1212,4
16,Delores Skitt,9,3493,1852 Colorado Parkway,1/22/2020 9:55,6/21/2019,8959,4
17,Gwen Nares,4,7745,388 Debs Street,3/27/2020 7:29,9/6/2019,7796,4
18,Milo Smitheram,10,4792,981 Banding Alley,2/12/2020 9:58,1/1/2020,3216,4
19,Jody Callander,1,4850,76 Forest Run Point,11/4/2019 23:39,7/9/2019,4910,4
20,Port Blackley,4,1439,6 Harbort Drive,4/27/2019 1:53,1/21/2020,2722,4
21,Channa Chang,0,297,25290 Dennis Pass,9/13/2019 18:25,10/1/2019,6128,4
22,Dwayne Baildon,9,908,0 Vera Parkway,3/17/2019 5:19,3/2/2019,5125,4
23,Lurline Ostrich,2,8944,4021 Vidon Place,5/26/2019 6:38,2/19/2020,2479,4
24,Arlette Greenmon,6,3497,704 Lindbergh Place,3/16/2019 23:27,4/10/2019,1525,4
25,Tansy Lafuente,6,5700,51694 Rusk Parkway,9/29/2019 21:28,10/20/2019,3644,4
26,Gil Fretwell,5,3735,0957 Marquette Drive,3/20/2019 23:05,1/1/2020,5535,4
27,Skye Corteis,7,7731,5127 Claremont Plaza,2/9/2020 14:01,4/9/2019,6365,4
28,Lewes Poplee,6,5405,364 Bowman Point,9/12/2019 14:53,12/26/2019,6011,4
29,Pate Lamprey,6,399,38946 Ilene Street,3/6/2019 10:40,7/24/2019,7224,4
30,Steffie Pllu,7,3251,99 Dahle Circle,,4/30/2019,,4
31,Christopher Endacott,3,2061,4 Fremont Terrace,,10/12/2019,,4
32,Kinny Pryer,4,6843,425 Derek Court,9/20/2019 5:51,2/2/2020,6873,4
33,Don Maryon,6,4216,04 Arizona Hill,7/9/2019 22:12,7/29/2019,9411,4
34,Diann Vauter,0,4348,79 Farwell Court,11/29/2019 20:38,7/23/2019,7297,4
35,Jimmy Edmondson,5,660,9619 Menomonie Pass,11/13/2019 20:08,2/22/2020,8561,4
36,Winslow Coltart,10,8435,66 Weeping Birch Hill,6/2/2019 18:38,5/30/2019,7623,4
37,Meghann Snoad,7,7401,037 Summerview Hill,1/11/2020 15:01,5/22/2019,6805,4
38,Tuckie Tritten,5,5301,122 Lake View Drive,7/26/2019 18:56,12/17/2019,8565,4
39,Rolfe McDonnell,7,3831,9624 Talisman Plaza,,11/11/2019,,4
40,Scott Boscher,8,6409,6795 Tony Drive,,5/18/2019,,4
41,Poul Groundwator,7,2364,378 Helena Avenue,12/28/2019 6:38,10/5/2019,2462,4
42,Johnathon Bruckent,7,8520,7 Grasskamp Plaza,1/11/2020 6:28,10/20/2019,9009,4
43,Kamilah Male,7,4545,722 Moulton Terrace,4/17/2019 16:17,4/28/2019,8874,4
44,Elli Bruhn,6,2775,7 Pine View Place,,4/20/2019,,4
45,Maxy Halfhide,3,865,060 Hauk Lane,12/3/2019 13:12,11/16/2019,9124,4
46,Ladonna Grayston,0,2784,8271 Carioca Place,,10/22/2019,,4
47,Lyon Selby,2,6503,97 Larry Plaza,2/10/2020 4:15,7/14/2019,8511,4
48,Shena Goodbourn,8,6616,85 Saint Paul Lane,3/8/2019 5:42,8/14/2019,7967,4
49,Tulley Mateuszczyk,4,6559,0 Nevada Hill,,11/15/2019,,4
50,Libby Elcombe,2,1147,651 Holy Cross Point,9/21/2019 17:45,8/19/2019,7928,4
